,t,id,ProyectedStock
0,1,1,2285
1,2,1,1943
2,3,1,1912
3,4,1,2271
4,5,1,2342
5,6,1,1911
6,7,1,2152
7,8,1,2152
8,9,1,2268
9,10,1,1970
10,1,2,2068
11,2,2,1976
12,3,2,2210
13,4,2,2074
14,5,2,2066
15,6,2,1977
16,7,2,2010
17,8,2,2103
18,9,2,2174
19,10,2,1939
20,1,3,1314
21,2,3,1190
22,3,3,1129
23,4,3,1231
24,5,3,1267
25,6,3,1158
26,7,3,1177
27,8,3,1193
28,9,3,1229
29,10,3,1131
30,1,4,805
31,2,4,784
32,3,4,824
33,4,4,815
34,5,4,816
35,6,4,785
36,7,4,777
37,8,4,804
38,9,4,822
39,10,4,764
40,1,5,474
41,2,5,480
42,3,5,483
43,4,5,446
44,5,5,450
45,6,5,451
46,7,5,447
47,8,5,486
48,9,5,493
49,10,5,453
50,1,6,794
51,2,6,722
52,3,6,729
53,4,6,740
54,5,6,766
55,6,6,738
56,7,6,748
57,8,6,745
58,9,6,753
59,10,6,724
60,1,7,353
61,2,7,326
62,3,7,335
63,4,7,343
64,5,7,350
65,6,7,324
66,7,7,335
67,8,7,329
68,9,7,333
69,10,7,325
70,1,8,468
71,2,8,441
72,3,8,444
73,4,8,476
74,5,8,483
75,6,8,435
76,7,8,444
77,8,8,456
78,9,8,458
79,10,8,430
80,1,9,97
81,2,9,92
82,3,9,100
83,4,9,94
84,5,9,101
85,6,9,95
86,7,9,91
87,8,9,98
88,9,9,94
89,10,9,90
90,1,10,104
91,2,10,105
92,3,10,90
93,4,10,107
94,5,10,106
95,6,10,91
96,7,10,92
97,8,10,94
98,9,10,96
99,10,10,95
100,1,11,105
101,2,11,92
102,3,11,92
103,4,11,92
104,5,11,109
105,6,11,96
106,7,11,96
107,8,11,96
108,9,11,97
109,10,11,98
110,1,12,97
111,2,12,92
112,3,12,100
113,4,12,96
114,5,12,92
115,6,12,100
116,7,12,95
117,8,12,91
118,9,12,97
119,10,12,92
120,1,13,2210
121,2,13,2045
122,3,13,2416
123,4,13,2249
124,5,13,2228
125,6,13,2072
126,7,13,2239
127,8,13,2370
128,9,13,2449
129,10,13,2085
130,1,14,97
131,2,14,93
132,3,14,88
133,4,14,107
134,5,14,103
135,6,14,99
136,7,14,94
137,8,14,89
138,9,14,106
139,10,14,102
140,1,15,2270
141,2,15,1947
142,3,15,1931
143,4,15,2061
144,5,15,2203
145,6,15,1990
146,7,15,2003
147,8,15,2025
148,9,15,2072
149,10,15,1946
